,mrna,rpf,te,note,gene
YPL237W,512.83,529.84,0.047076103,"Beta subunit of the translation initiation factor eIF2, involved in the identification of the start codon; proposed to be involved in mRNA binding",SUI3
YHR089C,193.55,529.22,1.451161277,"Protein component of the H/ACA snoRNP pseudouridylase complex, involved in the modification and cleavage of the 18S pre-rRNA",GAR1
YMR058W,630.19,524.61,-0.264541553,"Ferro-O2-oxidoreductase required for high-affinity iron uptake and involved in mediating resistance to copper ion toxicity, belongs to class of integral membrane multicopper oxidases",FET3
YER023W,454.2,523.35,0.204448392,"Delta 1-pyrroline-5-carboxylate reductase, catalyzes the last step in proline biosynthesis",PRO3
YJR016C,669.96,519.48,-0.367006756,"Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids",ILV3
YDR429C,381.95,515.88,0.433651725,"eIF3g subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates resumption of ribosomal scanning during translation reinitiation",TIF35
YCL035C,217.73,513.79,1.238638608,Hydroperoxide and superoxide-radical responsive heat-stable glutathione-dependent disulfide oxidoreductase with active site cysteine pair; protects cells from oxidative damage,GRX1
YKL054C,254.54,513.71,1.01306177,"RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis",DEF1
YPR145W,458.73,509.96,0.15273883,"Asparagine synthetase, isozyme of Asn2p; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway",ASN1
YLR027C,448.21,504.97,0.172022844,"Cytosolic aspartate aminotransferase, involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells",AAT2
YGL037C,297.19,504.72,0.764097684,"Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span",PNC1
YOR224C,351.98,503.93,0.51772989,"RNA polymerase subunit ABC14.5, common to RNA polymerases I, II, and III",RPB8
YOL143C,321.02,503.4,0.649042034,"Lumazine synthase (6,7-dimethyl-8-ribityllumazine synthase, also known as DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin",RIB4
YGR185C,448.07,501.72,0.163158313,"Cytoplasmic tyrosyl-tRNA synthetase, required for cytoplasmic protein synthesis; interacts with positions 34 and 35 of the tRNATyr anticodon; mutations in human ortholog YARS are associated with Charcot-Marie-Tooth (CMT) neuropathies",TYS1
YDL208W,339.79,497.94,0.551328518,"Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing",NHP2
YGR159C,328.46,496.86,0.597121712,"Nucleolar protein that binds nuclear localization sequences, required for pre-rRNA processing and ribosome biogenesis",NSR1
YML074C,289.41,495.38,0.775420852,Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p,FPR3
YML022W,345.38,493.18,0.513929752,"Adenine phosphoribosyltransferase, catalyzes the formation of AMP from adenine and 5-phosphoribosylpyrophosphate; involved in the salvage pathway of purine nucleotide biosynthesis",APT1
YBR143C,434.66,493.08,0.1819344,Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin,SUP45
YDL100C,414.93,492.82,0.248192836,"Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; subunit of the GET complex, which is involved in Golgi to ER trafficking and insertion of proteins into the ER membrane; has low-level ATPase activity",GET3
YDR304C,333.91,492.48,0.560605837,"Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the endoplasmic reticulum, catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER",CPR5
YJL012C,533.85,491.52,-0.119184312,Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion,VTC4
YDR502C,321.93,490.08,0.606270247,"S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)",SAM2
YMR295C,245.25,488.87,0.995197739,Protein of unknown function that associates with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud; YMR295C is not an essential gene,YMR295C
YHR020W,469.41,488.36,0.057096462,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; has similarity to proline-tRNA ligase; YHR020W is an essential gene",YHR020W
YGR094W,658.0,487.21,-0.433543839,Mitochondrial and cytoplasmic valyl-tRNA synthetase,VAS1
YBR067C,210.69,484.38,1.201017457,Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins,TIP1
YEL051W,470.23,483.84,0.041163461,"Subunit D of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; plays a role in the coupling of proton transport and ATP hydrolysis",VMA8
YNL070W,214.3,482.15,1.169850198,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex,TOM7
YJL217W,351.59,480.35,0.45019195,"Cytoplasmic protein involved in the regulation of enolase (ENO1); mRNA expression is induced by calcium shortage, copper deficiency (via Mac1p) and the presence of galactose (via Gal4p); mRNA expression is also regulated by the cell cycle",REE1
YJR121W,584.91,478.96,-0.288309479,"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated",ATP2
YGL200C,417.8,478.83,0.196701051,"Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport",EMP24
YLR175W,452.09,478.24,0.081124796,"Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita",CBF5
YMR146C,353.65,476.17,0.429154468,"eIF3i subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates rate of ribosomal scanning during translation reinitiation",TIF34
YHR007C,570.16,474.9,-0.263743073,"Lanosterol 14-alpha-demethylase, catalyzes the C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in the ergosterol biosynthesis pathway; member of the cytochrome P450 family",ERG11
YOR335C,494.45,474.85,-0.058352786,"Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog",ALA1
YBL076C,709.75,474.68,-0.580355679,"Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A",ILS1
YOR285W,312.16,474.21,0.603240403,Protein of unknown function containing a rhodanese-like domain; localized to the mitochondrial outer membrane,RDL1
YGL148W,408.68,471.62,0.206653258,"Bifunctional chorismate synthase and flavin reductase, catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids",ARO2
YER025W,333.29,471.3,0.49986765,"Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met",GCD11
YJR014W,235.47,470.48,0.99859013,"Protein of unknown function; associates with ribosomes and has a putative RNA binding domain; interacts with Tma20p; similar to human GRAP and human DRP1, which interacts with human Tma20p homolog MCT-1",TMA22
YPL154C,446.56,470.41,0.0750647,"Vacuolar aspartyl protease (proteinase A), required for the posttranslational precursor maturation of vacuolar proteinases; important for protein turnover after oxidative damage; synthesized as a zymogen, self-activates",PEP4
YKL210W,411.39,468.04,0.186125106,"Ubiquitin activating enzyme (E1), involved in ubiquitin-mediated protein degradation and essential for viability",UBA1
YCL037C,269.72,464.86,0.785333788,"Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif",SRO9
YPR133W-A,380.82,464.09,0.285295363,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import of all mitochondrially directed proteins; involved in transfer of precursors from the Tom70p and Tom20p receptors to the Tom40p pore,TOM5
YEL071W,382.4,463.45,0.277331177,"D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm",DLD3
YPR036W,415.59,462.67,0.154822616,"Subunit H of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase",VMA13
YGR167W,258.75,461.57,0.834990596,"Clathrin light chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis; thought to regulate clathrin function; two Clathrin heavy chains (CHC1) form the clathrin triskelion structural component",CLC1
YPR041W,288.3,460.47,0.67553633,Translation initiation factor eIF5; functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibitor to prevent recycling of eIF2,TIF5
YHR128W,337.62,460.38,0.447424792,"Uracil phosphoribosyltransferase, synthesizes UMP from uracil; involved in the pyrimidine salvage pathway",FUR1
YOR136W,321.77,460.07,0.515823561,"Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated",IDH2
YML106W,508.91,459.13,-0.148507838,"Major orotate phosphoribosyltransferase (OPRTase) isozyme that catalyzes the fifth enzymatic step in de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; minor OPRTase encoded by URA10",URA5
YER057C,275.44,457.85,0.733136937,"Member of the p14.5 protein family with similarity to Mmf1p, functionally complements Mmf1p function when targeted to mitochondria; heat shock inducible; high-dosage growth inhibitor; forms a homotrimer in vitro",HMF1
YER110C,458.54,457.09,-0.004569334,"Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1",KAP123
YFR053C,274.82,456.91,0.733423018,"Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p",HXK1
YPR062W,198.02,456.04,1.203514221,"Cytosine deaminase, zinc metalloenzyme that catalyzes the hydrolytic deamination of cytosine to uracil; of biomedical interest because it also catalyzes the deamination of 5-fluorocytosine (5FC) to form anticancer drug 5-fluorouracil (5FU)",FCY1
YML012W,454.65,455.66,0.003201377,"Protein that forms a heterotrimeric complex with Erp1, Erp2p, and Emp24, member of the p24 family involved in endoplasmic reticulum to Golgi transport",ERV25
YJR007W,303.77,454.17,0.580253015,"Alpha subunit of the translation initiation factor eIF2, involved in the identification of the start codon; phosphorylation of Ser51 is required for regulation of translation by inhibiting the exchange of GDP for GTP",SUI2
YLR153C,335.44,453.04,0.4335837,"Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions",ACS2
YER087C-B,336.24,451.82,0.426256772,Beta subunit of the Sec61p ER translocation complex (Sec61p-Sss1p-Sbh1p); involved in protein translocation into the endoplasmic reticulum; interacts with the exocyst complex and also with Rtn1p; homologous to Sbh2p,SBH1
YGL054C,312.13,450.0,0.527777975,"Protein localized to COPII-coated vesicles, involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p to cell surface; related to Drosophila cornichon",ERV14
YFR044C,407.37,448.67,0.139314983,Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p),DUG1
YPL004C,307.05,448.05,0.545186135,"Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis, along with Pil1p and Sur7p; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways",LSP1
YML081C-A,263.09,447.61,0.766685855,"Subunit of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms",ATP18
YLR300W,445.78,444.92,-0.002785939,"Major exo-1,3-beta-glucanase of the cell wall, involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes",EXG1
YDR071C,266.03,444.78,0.741502971,"Polyamine acetyltransferase; acetylates polyamines (e.g. putrescine, spermidine, spermine) and also aralkylamines (e.g. tryptamine, phenylethylamine); may be involved in transcription and/or DNA replication",PAA1
YOR247W,297.75,444.11,0.576815549,"Mannoprotein that exhibits a tight association with the cell wall, required for cell wall stability in the absence of GPI-anchored mannoproteins; has a high serine-threonine content; expression is induced in cell wall mutants",SRL1
YMR226C,294.31,442.82,0.58938382,"NADP(+)-dependent dehydrogenase; acts on serine, L-allo-threonine, and other 3-hydroxy acids; green fluorescent protein fusion protein localizes to the cytoplasm and nucleus; may interact with ribosomes, based on co-purification experiments",YMR226C
YPL271W,228.48,441.02,0.948776198,"Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated",ATP15
YGL202W,343.28,439.76,0.357330578,"Aromatic aminotransferase I, expression is regulated by general control of amino acid biosynthesis",ARO8
YFL037W,424.9,439.59,0.049035224,"Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules",TUB2
YMR108W,386.28,435.52,0.173091989,"Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control",ILV2
YJL080C,370.34,433.91,0.228545453,"Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins",SCP160
YGR020C,370.92,432.26,0.22079128,"Subunit F of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane",VMA7
YCL009C,452.05,431.37,-0.067556507,"Regulatory subunit of acetolactate synthase, which catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit, localizes to mitochondria",ILV6
YOR230W,382.8,429.22,0.165126472,"Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; required for nuclear localization of the ribonucleotide reductase small subunit Rnr2p and Rnr4p; contains WD repeats",WTM1
YFL022C,295.58,425.79,0.526593413,"Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar",FRS2
YCL050C,207.44,425.35,1.035956343,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p",APA1
YLL026W,321.59,424.13,0.399283987,"Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation",HSP104
YCR088W,232.2,423.5,0.866993997,"Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization",ABP1
YDR172W,325.39,423.04,0.378624168,"Translation termination factor eRF3; altered protein conformation creates the [PSI(+)] prion, a dominant cytoplasmically inherited protein aggregate that alters translational fidelity and creates a nonsense suppressor phenotype",SUP35
YGL026C,304.49,422.01,0.470882337,"Tryptophan synthase, catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis",TRP5
YMR079W,320.56,420.52,0.391580002,"Phosphatidylinositol/phosphatidylcholine transfer protein; involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which regulate intracellular transport and UPR; functionally homologous to mammalian PITPs",SEC14
YGL234W,370.06,418.6,0.177813109,"Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities",ADE5%2C7
YPR183W,206.65,418.6,1.018382948,"Dolichol phosphate mannose (Dol-P-Man) synthase of the ER membrane, catalyzes the formation of Dol-P-Man from Dol-P and GDP-Man; required for glycosyl phosphatidylinositol membrane anchoring, O mannosylation, and protein glycosylation",DPM1
YLR304C,466.75,416.82,-0.163225519,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy",ACO1
YNL015W,193.67,415.96,1.102844307,"Cytosolic inhibitor of vacuolar proteinase B (PRB1), required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion",PBI2
YPR187W,329.24,415.95,0.337270495,"RNA polymerase subunit ABC23, common to RNA polymerases I, II, and III; part of central core; similar to bacterial omega subunit",RPO26
YER036C,429.7,415.01,-0.050183677,"ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p",ARB1
YDL067C,151.38,414.16,1.452013611,"Subunit VIIa of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain",COX9
YFL005W,249.43,413.67,0.72984534,Rab family GTPase essential for vesicle-mediated exocytic secretion and autophagy; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane,SEC4
YMR276W,256.76,413.26,0.686629264,"Nuclear-enriched ubiquitin-like polyubiquitin-binding protein, required for spindle pole body (SPB) duplication and for transit through the G2/M phase of the cell cycle, involved in proteolysis, interacts with the proteasome",DSK2
YPL019C,530.08,412.98,-0.360138193,"Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion",VTC3
YKR043C,198.62,410.83,1.048530633,"Metal-independent fructose 1,6-bisphosphatase, may play a role in gluconeogenesis under metal-limiting conditions; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus",YKR043C
YER003C,281.63,410.81,0.544670278,"Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P; required for early steps in protein mannosylation",PMI40
YAL035W,369.33,410.02,0.150783829,"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2",FUN12
YLR060W,365.55,408.86,0.161538175,"Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control",FRS1
YMR318C,287.48,408.84,0.508074762,NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance,ADH6
YDR399W,324.77,406.43,0.323588524,"Dimeric hypoxanthine-guanine phosphoribosyltransferase, catalyzes the formation of both inosine monophosphate and guanosine monophosphate; mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome",HPT1
YHR068W,392.92,403.97,0.040012554,"Deoxyhypusine synthase, catalyzes formation of deoxyhypusine, the first step in hypusine biosynthesis; triggers posttranslational hypusination of translation elongation factor eIF-5A and regulates its intracellular levels; tetrameric",DYS1
YOR232W,297.44,403.78,0.440970778,"Mitochondrial matrix cochaperone, acts as a nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in folding of Fe-S cluster proteins; homolog of E. coli GrpE",MGE1
YLR447C,442.75,400.72,-0.14389779,"Subunit d of the five-subunit V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found in the endomembrane system; stabilizes VO subunits; required for V1 domain assembly on the vacuolar membrane",VMA6
YDR341C,364.17,398.85,0.131234199,"Arginyl-tRNA synthetase, proposed to be cytoplasmic but the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",YDR341C
YHR143W,285.63,397.46,0.476662161,"Daughter cell-specific secreted protein with similarity to glucanases, degrades cell wall from the daughter side causing daughter to separate from mother; expression is repressed by cAMP",DSE2
YGR106C,308.1,397.1,0.366103678,"Endoplasmic reticulum protein that functions, together with other assembly factors, in assembly of the V0 sector of the vacuolar ATPase (V-ATPase); null mutation enhances the V-ATPase deficiency of a vma21 mutant impaired in ER retrieval",VOA1
YGR135W,317.37,396.86,0.322464398,"Alpha 3 subunit of the 20S proteasome, the only nonessential 20S subunit; may be replaced by the alpha 4 subunit (Pre6p) under stress conditions to create a more active proteasomal isoform",PRE9
YNL066W,423.06,396.52,-0.093468651,"Cell wall protein related to glucanases, possibly involved in cell wall septation; member of the SUN family",SUN4
YNR016C,606.61,395.33,-0.617711841,"Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids",ACC1
YPR033C,342.08,394.55,0.205874382,Cytoplasmic and mitochondrial histidine tRNA synthetase; encoded by a single nuclear gene that specifies two messages; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence,HTS1
YBL001C,267.35,394.52,0.561368762,"Non-essential protein of unknown function, likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis",ECM15
YKL035W,260.5,394.19,0.597607805,"UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p",UGP1
YER055C,476.64,393.67,-0.275913254,"ATP phosphoribosyltransferase, a hexameric enzyme, catalyzes the first step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control",HIS1
YOR323C,286.96,393.66,0.456100477,"Gamma-glutamyl phosphate reductase, catalyzes the second step in proline biosynthesis",PRO2
YDR513W,194.7,388.73,0.997515567,"Cytoplasmic glutaredoxin, thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress",GRX2
YDL022W,216.24,386.3,0.837088261,"NAD-dependent glycerol-3-phosphate dehydrogenase, key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; homolog of Gpd2p",GPD1
YBL041W,266.03,385.15,0.533831479,Beta 6 subunit of the 20S proteasome,PRE7
YBR016W,123.24,382.41,1.633649663,"Tail-anchored plasma membrane protein containing a conserved CYSTM module; predicted to be palmitoylated; has similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions",YBR016W
YIR037W,171.34,381.57,1.155085754,Thiol peroxidase that functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor,HYR1
YKL096W,207.64,379.34,0.869407114,"Cell wall mannoprotein that localizes specifically to birth scars of daughter cells, linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance",CWP1
YPL234C,355.02,378.67,0.093040828,"Vacuolar ATPase V0 domain subunit c', involved in proton transport activity; hydrophobic integral membrane protein (proteolipid) containing four transmembrane segments; N and C termini are in the vacuolar lumen",VMA11
YNL220W,297.36,377.7,0.34503019,"Adenylosuccinate synthase, catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence",ADE12
YMR203W,251.22,375.86,0.581244064,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore,TOM40
YIL041W,315.47,374.0,0.245535453,"BAR domain-containing protein that localizes to both early and late Golgi vesicles; required for adaptation to varying nutrient concentrations, fluid-phase endocytosis, polarization of the actin cytoskeleton, and vacuole biogenesis",GVP36
YLR244C,251.1,372.75,0.569946324,"Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p",MAP1
YMR202W,455.19,370.33,-0.297657438,"C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis",ERG2
YLR359W,333.73,369.34,0.146268136,"Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency",ADE13
YDR129C,260.76,365.23,0.486082693,"Fimbrin, actin-bundling protein; cooperates with Scp1p (calponin/transgelin) in the organization and maintenance of the actin cytoskeleton",SAC6
YAR002C-A,301.48,363.19,0.268662183,"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles",ERP1
YER007C-A,235.6,362.93,0.623351777,Protein of unknown function that associates with ribosomes and has a putative RNA binding domain; interacts with Tma22p; null mutant exhibits translation defects; has homology to human oncogene MCT-1,TMA20
YCR004C,235.46,361.91,0.620148976,"Protein of unknown function, has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",YCP4
YLR438W,242.31,361.12,0.575624378,"L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive",CAR2
YGR204W,343.32,358.65,0.063022727,"Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine",ADE3
YOL077W-A,164.25,357.51,1.122090226,"Subunit k of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase",ATP19
YMR305C,282.47,357.39,0.339401615,Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on mutant phenotype and its regulation by Ste12p,SCW10
YPL010W,273.54,357.28,0.385303341,"Zeta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER",RET3
YGR253C,300.15,357.0,0.250240406,Alpha 5 subunit of the 20S proteasome involved in ubiquitin-dependent catabolism; human homolog is subunit zeta,PUP2
YML085C,362.91,356.06,-0.027491439,"Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules",TUB1
YKL080W,412.58,354.95,-0.217058074,"Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane",VMA5
YDR321W,285.94,352.75,0.302933631,"Cytosolic L-asparaginase, involved in asparagine catabolism",ASP1
YJL151C,247.54,348.95,0.495358663,"Integral membrane protein localized to vacuolar intralumenal vesicles, computational analysis of large-scale protein-protein interaction data suggests a possible role in either cell wall synthesis or protein-vacuolar targeting",SNA3
